stop_id,stop_name,stop_lat,stop_lon,zone_id
1443,MOURISCA II,41.570648,-8.379226,1
1444,MOURISCA I,41.572289,-8.379502,1
1445,LAGE I,41.570187,-8.382417,1
1446,ÓRFÃOS S CAETANO (S GREGÓRIO),41.543713,-8.442552,1
1447,ÓRFÃOS S CAETANO (ESCOLA),41.542408,-8.442633,1
1448,SAMPAIO PIMENTEL,41.539337,-8.438740,1
1449,ESTRADA NOVA I,41.561310,-8.390472,1
1450,ESTRADA NOVA I,41.561382,-8.390485,1
1451,ESTRADA NOVA II (FONTE GRILO),41.563057,-8.387876,1
1452,ESTRADA NOVA II (FONTE GRILO),41.563316,-8.388030,1
1453,S LOURENÇO III (CRUZAMENTO),41.511608,-8.451297,2
1454,MARIA D SILVA (CENTRO EMPRESARIAL),41.527767,-8.447469,1
1456,BARREIROS I,41.530891,-8.409913,1
1457,BARREIROS I,41.530880,-8.410030,1
1458,MARCO II (PADIM GRAÇA),41.563313,-8.503900,2
1460,RIO MAU I (AGUEDA),41.553650,-8.373228,2
1461,RIO MAU I (AGUEDA),41.553734,-8.373186,2
1462,SENHORA CONCEIÇÃO I,41.553909,-8.343401,2
1463,SENHORA CONCEIÇÃO I,41.553974,-8.343402,2
1464,SENHORA CONCEIÇÃO II (PORTELA),41.554466,-8.340401,2
1465,SENHORA CONCEIÇÃO II (PORTELA),41.554523,-8.340470,2
1466,IGREJA II,41.552921,-8.336402,2
1467,SENHORA CONCEIÇÃO III (CRUZAMENTO),41.555763,-8.337624,2
1468,SENHORA CONCEIÇÃO III (CRUZAMENTO),41.555500,-8.337831,2
1469,IGREJA III (TOUÇAS),41.551342,-8.334773,2
1470,IGREJA III (TOUÇAS),41.551395,-8.334720,2
1471,REGADAS III (CRUZEIRO),41.557510,-8.301587,2
1473,IGREJA II,41.528137,-8.498531,2
1474,IGREJA II,41.528172,-8.498613,2
1475,JOSÉ GRANJA II,41.525833,-8.428685,1
1476,JOSÉ GRANJA II,41.525780,-8.428612,1
1477,JOSÉ GRANJA I (ESCOLA),41.528473,-8.427492,1
1478,JOSÉ GRANJA I (ESCOLA),41.528542,-8.427329,1
1479,PIPE (FIGUEIREDO) ,41.499714,-8.444648,2
1480,PIPE (FIGUEIREDO) ,41.499680,-8.444483,2
1481,OUTEIRINHO (SOBRADO),41.502655,-8.445692,2
1482,OUTEIRINHO (SOBRADO),41.502625,-8.445807,2
1484,SOBRADO,41.504082,-8.447757,2
1485,ESPESSANDES II (PINHEIRO BICHO),41.507984,-8.433151,2
1486,ESPESSANDES II (PINHEIRO BICHO),41.508049,-8.433128,2
1487,BARROS E SOARES I,41.535610,-8.422611,1
1494,BARRAL III,41.528889,-8.395255,1
1495,BARRAL III,41.528912,-8.395179,1
1497,MANUEL F CAPA,41.533264,-8.414148,1
1498,MANUEL F CAPA,41.533371,-8.414138,1
